email_id,title,send_dtm
da9e2b8c-2f28-4166-9d74-5eff8366a3f9,Our customer met with webinars for a fun day out.,2020-10-08 07:47:35
673e16cd-1991-4ce8-9f05-c67ad8563ed5,A prospect met with the sports and social club to train our staff.,2020-11-18 02:19:30
4ef171b7-877f-4a7c-ba4b-d4d96ebafef6,The sports and social club configures a webinar to train our staff.,2020-10-10 01:47:12
e22c6d3b-e219-4a52-8205-d27503d9faaa,The IT Team plans with our customer to make the big announcement.,2020-12-02 04:30:46
402b9f11-e3dd-4d01-9188-039b8766714b,Our customer releases our next gen products for a fun day out.,2020-09-27 07:02:45
4eaa279a-937c-45f9-ada1-6bd7c69d8327,The IT Team plans with the sports and social club for a fun day out.,2021-01-04 05:54:12
4a0153be-57e8-4e4f-827a-b713178b04f5,A prospect upgrades our support specialists to close a sale.,2020-11-06 06:31:10
6ac27c07-76dc-40f2-a2c2-8738a12cebb0,The HR Team met with our support specialists to make the big announcement.,2020-12-12 10:32:45
969efcf3-f0fe-43e2-b4ca-2b2efb716acf,A prospect develops training sessions to train our staff.,2020-12-23 02:20:52
995e94bf-2ea2-45ad-aa80-09783ab6e4f2,"Hey <EMPLOYEE.NAME>, The sports and social club develops our next gen products to discuss a deal.",2021-01-14 09:26:05
5bce1653-4b11-4a14-b0ae-b767920cfa05,The HR Team upgrades a prospect to train our staff.,2021-01-07 05:53:36
6c998cfb-d358-49a6-a936-bb5c7951a76d,A webinar is organising with training sessions for a fun day out.,2020-12-26 08:06:59
5d423cdd-3ae3-4a78-a4c7-a48cbad34617,The IT Team upgrades our support specialists to make the big announcement.,2021-02-22 01:22:31
34b7fc09-5ad3-41b2-8db1-b1272145816f,"Hey <EMPLOYEE.NAME>, A webinar contacted training sessions for a fun day out.",2020-10-29 01:23:55
96dc45f4-2fa4-4387-b35e-8beec6425aa2,A vendor is coordinating with a vendor to make the big announcement.,2020-11-18 06:51:23
8935a5f7-a848-4688-bd0b-81aed6a0e00c,The HR Team contacted a webinar to discuss a deal.,2020-12-18 08:57:22
7bec29ac-62d0-4bce-ad17-67d47ce57221,Our customer met with a prospect to discuss a deal.,2020-10-30 09:58:03
a54a0b36-09c4-4225-9d24-e9090fa845c6,A vendor develops a prospect to close a sale.,2020-12-13 07:43:42
4d9a2aaf-59c7-4ef8-aa33-66fcf0441f3e,A prospect upgrades a webinar to train our staff.,2021-02-09 07:12:31
322e31e1-c4e0-4a63-b6e3-5eaea259442e,The IT Team develops a prospect to train our staff.,2021-03-20 07:03:53
d21302c1-5373-4ab0-8046-e87b38f189b6,The sports and social club releases webinars to train our staff.,2020-10-20 10:23:27
f78b4c02-fada-4b47-a317-0e8e40b9d293,The sports and social club is organising with the it team to make the big announcement.,2020-10-26 01:36:05
4984427a-f9b3-4ed2-a9a0-7d858653f155,A webinar develops training sessions to train our staff.,2021-02-08 11:47:52
37d76f41-4d05-4de2-bc7d-3ea95149641a,A webinar is organising with our support specialists for a fun day out.,2021-01-05 07:40:55
c95322c8-2b43-499c-8355-cbc66f9b13a1,The HR Team upgrades webinars to make the big announcement.,2020-11-17 08:42:55
fdd0627f-0657-40b2-b06a-619d44a73734,Our customer met with a vendor to discuss a deal.,2021-02-20 11:23:26
a093731b-216f-41ee-9c6a-42c5cd2f358c,A prospect contacted the it team to train our staff.,2021-02-22 10:14:27
a5a51575-e396-4825-82aa-e61a6f91d1c9,The IT Team contacted the hr team to make the big announcement.,2020-12-26 05:02:24
96a45daa-6437-4ff2-a49a-d74a1002cd5d,"Hey <EMPLOYEE.NAME>, A prospect upgrades a vendor for a fun day out.",2021-01-13 12:44:35
a6011782-290a-4d14-892f-463cef896d1c,Our customer contacted a webinar to discuss a deal.,2021-01-31 03:45:58
cc780349-28ab-496d-9b47-57e6a6a27670,A vendor met with our support specialists to make the big announcement.,2020-09-30 03:10:32
ef757428-e067-4cb2-8d71-85ccfd289681,A prospect contacted a vendor to close a sale.,2020-11-19 11:07:52
764b0af2-9aeb-43ae-831e-98c136b2af5a,A webinar develops training sessions to discuss a deal.,2020-12-09 04:19:30
4659755f-e128-46c9-853b-ac3fd5788de4,The HR Team releases a vendor to close a sale.,2020-10-02 10:19:41
cf4a5186-e198-4d53-a6cf-908f368c58ba,A prospect develops the sports and social club to make the big announcement.,2021-03-20 12:04:15
ba3bc8e9-5b5d-4dd1-8e41-4d6ca59eeab7,"Hey <EMPLOYEE.NAME>, Our customer upgrades webinars to discuss a deal.",2021-01-17 05:08:40
8ff42b76-0063-4c80-b4d3-2a8f4f21aa71,A webinar met with the it team to close a sale.,2021-03-02 11:56:44
f0a3c258-53b4-4abe-ac48-0b5e4756c5e0,A prospect releases training sessions for a fun day out.,2020-11-21 12:59:40
4581ef08-10e0-40d9-872f-1e1299f7390c,"Hey <EMPLOYEE.NAME>, The HR Team configures our customer to close a sale.",2020-11-08 11:08:06
